name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
Letex Enterprises(H.K.) Limite;Letex;114.303579,22.676646;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN ROSE QUEEN GARMENT CO.,;ROSE QUEEN;118.160214,24.518138;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fran Wheel Enterp Co.,Ltd(Chin;Fran Wheel;113.847807,22.767606;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
MINGSI BICYCLE PARTS(SHENZHEN;MINGSI;114.066824,22.720597;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HESHAN CARRYWEALTH GARMENT LTD;CARRYWEALTH;112.889911,22.587457;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
National Electronics & Watch C;WEIRI;113.90398,22.790275;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TRIPLE GOLD WORLDWIDE LIMITED;TRIPLE GOLD;113.780493,22.991947;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN FULI SHOES CO.,LTD;FULI;118.127791,24.715431;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JIANGMEN V-APPAREL MANUFACTURI;V-APPAREL;112.939292,22.461358;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
U-LUCKY SPORTING GOODS CO.LTD;U-LUCKY;113.887208,22.795629;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FOSHAN NANHAI SHYANGHO FOOTWEA;SHYANGHO;113.236021,23.014658;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SUN HAVEN OPTICAL CO.,LTD.( XI;SUN HAVEN;118.016879,24.528695;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
COMPOSITE TECH COMPANY LIMITED;COMPOSITE;113.610556,23.011555;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ECHOWELL ELECTRONIC CO.,LTD;ECHOWELL;114.075528,22.813052;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FOSHAN SHUNDE FLY N HIGH CO.,;FLY N;113.131699,22.952995;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LONG WAY ENTERPRISE(HK)CO.LTD;LONG WAY;113.914146,22.725255;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HuiZhou YiChang Garment Compan;YICHANG;114.680817,22.955041;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fujian Ezon Information Techno;EZON;119.249263,26.057596;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN SURPASSING SHOES CO.,;SURPASSING;113.759112,22.767084;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SUNNY FOOTWEAR CO., LTD.;SUNNY;116.370367,25.852171;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GAOYAO YUANLIANG PLASTIC CO.,L;YUANLIANG;112.532639,23.047134;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LUNG I BICYCLE PARTS(DONGGUAN);LUNG I;114.117341,22.75159;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Juxing Composite Manufacture C;Juxing;114.129875,22.871755;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN CHENG SHIN ENTERPRISE C;CHENG SHIN;118.026835,24.580582;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN RONGCHENG SPORTS LTD.;RONGCHENG;113.969942,22.968119;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HUNG YUAN (JISHUI) INDUSTRIAL;HUNG YUAN;115.123926,27.256882;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JINGMEN JUNYUAN GARMENT CO., L;JUNYUAN;112.22466,30.945858;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIN XING GREAT SUCCESS PLASTIC;GREAT SUCCESS;113.845546,22.808476;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUANGZHOU YINGRUN GARMENT CO L;YINGRUN;113.359782,23.300202;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SZ Shuangshengli Elect. Tech..;Shuangshengl;114.001583,22.680517;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HWAMAO OPTICAL(XIAMEN) CO.,LTD;HWAMAO;118.160335,24.517109;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
